INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'cifar100', 'class_num': 100, 'arch': 'resnet18', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.0001, 'lr_factor': 0.2, 'bs': 128, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': 'runs/imagenet_cifar100/100/resnet18', 'checkpoint_path': 'checkpoints/imagenet_cifar100/100/resnet18', 'checkpoint_save_step': 5, 'log_path': 'log/resnet18/imagenet_cifar100/100/pretrain.log', 'end_epoch': 200}
INFO:root:Class_num: 100
INFO:root:Classes: range(0, 100)
INFO:root:Epoch 57 Test set: LR: 0.00009970,  Average loss: 0.0167, Accuracy: 0.4484
INFO:root:Epoch 58 Test set: LR: 0.00009970,  Average loss: 0.0166, Accuracy: 0.4473
INFO:root:Epoch 59 Test set: LR: 0.00009961,  Average loss: 0.0165, Accuracy: 0.4512
INFO:root:Epoch 60 Test set: LR: 0.00009961,  Average loss: 0.0163, Accuracy: 0.4546
INFO:root:Epoch 61 Test set: LR: 0.00009961,  Average loss: 0.0164, Accuracy: 0.4542
INFO:root:Epoch 62 Test set: LR: 0.00009950,  Average loss: 0.0163, Accuracy: 0.4561
INFO:root:Epoch 63 Test set: LR: 0.00009950,  Average loss: 0.0162, Accuracy: 0.4578
INFO:root:Epoch 64 Test set: LR: 0.00009950,  Average loss: 0.0163, Accuracy: 0.4551
INFO:root:Epoch 65 Test set: LR: 0.00009938,  Average loss: 0.0163, Accuracy: 0.4543
INFO:root:Epoch 66 Test set: LR: 0.00009926,  Average loss: 0.0161, Accuracy: 0.4608
INFO:root:Epoch 67 Test set: LR: 0.00009926,  Average loss: 0.0162, Accuracy: 0.4568
INFO:root:Epoch 68 Test set: LR: 0.00009911,  Average loss: 0.0161, Accuracy: 0.4594
INFO:root:Epoch 69 Test set: LR: 0.00009896,  Average loss: 0.0161, Accuracy: 0.4625
INFO:root:Epoch 70 Test set: LR: 0.00009896,  Average loss: 0.0159, Accuracy: 0.4661
INFO:root:Epoch 71 Test set: LR: 0.00009896,  Average loss: 0.0160, Accuracy: 0.4644
INFO:root:Epoch 72 Test set: LR: 0.00009880,  Average loss: 0.0159, Accuracy: 0.4682
INFO:root:Epoch 73 Test set: LR: 0.00009880,  Average loss: 0.0160, Accuracy: 0.4655
INFO:root:Epoch 74 Test set: LR: 0.00009862,  Average loss: 0.0159, Accuracy: 0.4639
INFO:root:Epoch 75 Test set: LR: 0.00009843,  Average loss: 0.0158, Accuracy: 0.4672
INFO:root:Epoch 76 Test set: LR: 0.00009823,  Average loss: 0.0158, Accuracy: 0.4678
INFO:root:Epoch 77 Test set: LR: 0.00009801,  Average loss: 0.0158, Accuracy: 0.4711
INFO:root:Epoch 78 Test set: LR: 0.00009801,  Average loss: 0.0159, Accuracy: 0.4678
INFO:root:Epoch 79 Test set: LR: 0.00009779,  Average loss: 0.0159, Accuracy: 0.4672
INFO:root:Epoch 80 Test set: LR: 0.00009755,  Average loss: 0.0158, Accuracy: 0.4740
