INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/vgg16', 'checkpoint_path': './checkpoints/imagenet_caltech256/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.00750000,  Average loss: 0.0517, Accuracy: 0.6535
INFO:root:Test set: LR: 0.00742405,  Average loss: 0.0477, Accuracy: 0.6697
INFO:root:Test set: LR: 0.00742405,  Average loss: 0.0505, Accuracy: 0.6617
INFO:root:Test set: LR: 0.00734736,  Average loss: 0.0497, Accuracy: 0.6631
INFO:root:Test set: LR: 0.00726995,  Average loss: 0.0520, Accuracy: 0.6626
INFO:root:Test set: LR: 0.00719186,  Average loss: 0.0505, Accuracy: 0.6578
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0494, Accuracy: 0.6714
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0477, Accuracy: 0.6799
INFO:root:Test set: LR: 0.00711309,  Average loss: 0.0488, Accuracy: 0.6697
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0515, Accuracy: 0.6634
INFO:root:Test set: LR: 0.00695366,  Average loss: 0.0498, Accuracy: 0.6634
INFO:root:Test set: LR: 0.00687303,  Average loss: 0.0486, Accuracy: 0.6742
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0532, Accuracy: 0.6438
INFO:root:Test set: LR: 0.00671010,  Average loss: 0.0515, Accuracy: 0.6564
INFO:root:Test set: LR: 0.00662784,  Average loss: 0.0496, Accuracy: 0.6712
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0484, Accuracy: 0.6753
INFO:root:Test set: LR: 0.00646186,  Average loss: 0.0504, Accuracy: 0.6692
INFO:root:Test set: LR: 0.00637819,  Average loss: 0.0513, Accuracy: 0.6655
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0483, Accuracy: 0.6782
INFO:root:Test set: LR: 0.00620961,  Average loss: 0.0490, Accuracy: 0.6749
INFO:root:Test set: LR: 0.00612476,  Average loss: 0.0522, Accuracy: 0.6584
INFO:root:Test set: LR: 0.00603956,  Average loss: 0.0490, Accuracy: 0.6794
INFO:root:Test set: LR: 0.00595404,  Average loss: 0.0488, Accuracy: 0.6743
INFO:root:Test set: LR: 0.00586824,  Average loss: 0.0489, Accuracy: 0.6737
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0510, Accuracy: 0.6654
INFO:root:Test set: LR: 0.00569587,  Average loss: 0.0502, Accuracy: 0.6709
INFO:root:Test set: LR: 0.00560935,  Average loss: 0.0508, Accuracy: 0.6776
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0494, Accuracy: 0.6788
INFO:root:Test set: LR: 0.00543578,  Average loss: 0.0469, Accuracy: 0.6875
INFO:root:Test set: LR: 0.00543578,  Average loss: 0.0490, Accuracy: 0.6722
