INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00885257,  Average loss: 0.0903, Accuracy: 0.6010
INFO:root:Test set: LR: 0.00881898,  Average loss: 0.0886, Accuracy: 0.6040
INFO:root:Test set: LR: 0.00878498,  Average loss: 0.0870, Accuracy: 0.6159
INFO:root:Test set: LR: 0.00875056,  Average loss: 0.0887, Accuracy: 0.6138
INFO:root:Test set: LR: 0.00871572,  Average loss: 0.0855, Accuracy: 0.6299
INFO:root:Test set: LR: 0.00868049,  Average loss: 0.0850, Accuracy: 0.6259
INFO:root:Test set: LR: 0.00864484,  Average loss: 0.0855, Accuracy: 0.6217
INFO:root:Test set: LR: 0.00860880,  Average loss: 0.0868, Accuracy: 0.6130
INFO:root:Test set: LR: 0.00857236,  Average loss: 0.0866, Accuracy: 0.6177
INFO:root:Test set: LR: 0.00853553,  Average loss: 0.0864, Accuracy: 0.6190
INFO:root:Test set: LR: 0.00849832,  Average loss: 0.0857, Accuracy: 0.6169
INFO:root:Test set: LR: 0.00846072,  Average loss: 0.0874, Accuracy: 0.6207
INFO:root:Test set: LR: 0.00842274,  Average loss: 0.0848, Accuracy: 0.6241
INFO:root:Test set: LR: 0.00838438,  Average loss: 0.0897, Accuracy: 0.6040
INFO:root:Test set: LR: 0.00834565,  Average loss: 0.0834, Accuracy: 0.6284
INFO:root:Test set: LR: 0.00830656,  Average loss: 0.0841, Accuracy: 0.6254
INFO:root:Test set: LR: 0.00826710,  Average loss: 0.0864, Accuracy: 0.6194
INFO:root:Test set: LR: 0.00822729,  Average loss: 0.0847, Accuracy: 0.6176
INFO:root:Test set: LR: 0.00818712,  Average loss: 0.0880, Accuracy: 0.6140
INFO:root:Test set: LR: 0.00814660,  Average loss: 0.0901, Accuracy: 0.6112
INFO:root:Test set: LR: 0.00810574,  Average loss: 0.0835, Accuracy: 0.6305
INFO:root:Test set: LR: 0.00806454,  Average loss: 0.0820, Accuracy: 0.6392
INFO:root:Test set: LR: 0.00802300,  Average loss: 0.0854, Accuracy: 0.6233
INFO:root:Test set: LR: 0.00798112,  Average loss: 0.0825, Accuracy: 0.6431
INFO:root:Test set: LR: 0.00793893,  Average loss: 0.0814, Accuracy: 0.6459
